Time,result,table,_start,_stop,_time,_measurement,dst_ip,protocol,src_ip,ack_rtt_ms,avg_latency_ms,bandwidth_mbps,jitter_ms,packet_length_bytes,retransmission,session_duration_sec,tcp_dst_port,tcp_src_port,time_delta_ms,total_data_mb,ttl,window_size,tcp_flags
2024-12-07 04:16:44.778941+00:00,_result,10,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:44.778941+00:00,network_metrics,2398817468,TCP,3232235765,8.5,23.23,0.0,,0.0,0,0.0,5228.0,55514.0,23.23,0.02,0.5,0.007938978829389787,0.6363636363636364
2024-12-07 04:16:24.276889+00:00,_result,11,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:24.276889+00:00,network_metrics,2562926156,TCP,3232235765,48.94,10.36,0.0,23.04,0.0,0,15.55,80.0,59885.0,5.89,4.42,0.5,0.9802395666437781,0.0
2024-12-07 04:16:44.818156+00:00,_result,11,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:44.818156+00:00,network_metrics,2562926156,TCP,3232235765,8.5,105.57,0.0,150.06,0.0,0,11.34,80.0,59886.0,3.27,0.12,0.5,0.007938978829389787,0.6363636363636364
2024-12-07 04:17:09.984317+00:00,_result,11,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:17:09.984317+00:00,network_metrics,2562926156,TCP,3232235765,2.85,231.19,0.0,272.2,0.01,0,0.04,80.0,59886.0,38.71,0.18,0.34196891191709844,0.9891304347826086,0.0
2024-12-07 04:16:44.915763+00:00,_result,12,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:44.915763+00:00,network_metrics,2886765793,TCP,3232235765,8.5,24.24,0.0,,0.0,0,0.0,7680.0,60259.0,24.24,0.04,0.5,1.0,0.0
2024-12-07 04:16:24.322272+00:00,_result,13,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:24.322272+00:00,network_metrics,2887737581,TCP,3232235765,48.94,232.49,0.0,262.87,0.0,0,7.02,7680.0,59790.0,598.93,0.2,0.5,0.9802395666437781,0.0
2024-12-07 04:16:24.352134+00:00,_result,14,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:24.352134+00:00,network_metrics,2899944355,TCP,3232235765,48.94,23.02,0.0,45.22,0.0,0,0.0,443.0,59692.0,90.86,0.1,0.5,0.007766842145418479,0.6521739130434783
2024-12-07 04:16:24.371113+00:00,_result,15,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:24.371113+00:00,network_metrics,3223458982,TCP,3232235765,48.94,82.14,0.0,71.37,0.0,0,16.4,443.0,59643.0,28.81,0.13,0.5,0.007827878233005264,0.6086956521739131
2024-12-07 04:16:45.004216+00:00,_result,15,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:45.004216+00:00,network_metrics,3223458982,TCP,3232235765,8.5,4.55,0.0,3.01,0.0,0,0.12,443.0,59644.0,6.68,0.04,0.5,0.007985678704856787,0.6363636363636364
2024-12-07 04:16:24.400498+00:00,_result,16,2024-12-07 04:16:15.021756+00:00,2024-12-07 04:17:15.021756+00:00,2024-12-07 04:16:24.400498+00:00,network_metrics,3232235521,DNS,3232235765,48.94,67.43,0.0,101.77,0.01,0,27.81,443.0,443.0,159.49,1.0,0.5,0.007827878233005264,
