Time,result,table,_start,_stop,_time,_measurement,dst_ip,protocol,src_ip,ack_rtt_ms,avg_latency_ms,bandwidth_mbps,jitter_ms,packet_length_bytes,retransmission,session_duration_sec,tcp_dst_port,tcp_src_port,time_delta_ms,total_data_mb,ttl,window_size,tcp_flags
2024-12-07 04:15:15.177268+00:00,_result,14,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.177268+00:00,network_metrics,3232235765,TCP,1249757372,875.76,31.2,0.0,18.94,0.01,0,8.39,55510.0,5228.0,52.98,0.19,0.468503937007874,0.0162826899128268,0.6363636363636364
2024-12-07 04:15:14.647320+00:00,_result,15,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:14.647320+00:00,network_metrics,3232235765,TCP,225117531,43.98,2.72,0.0,,0.0,0,0.0,57683.0,443.0,2.72,0.03,0.2401574803149606,0.0039539227895392,0.6818181818181818
2024-12-07 04:15:15.222612+00:00,_result,16,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.222612+00:00,network_metrics,3232235765,TCP,2354213141,227.62,43.48,0.0,90.91,0.01,0,1.17,59214.0,443.0,13.82,12.37,0.2401574803149606,0.4545454545454545,0.7272727272727273
2024-12-07 04:14:43.379805+00:00,_result,17,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.379805+00:00,network_metrics,3232235765,TCP,2398795406,93.85,9.18,0.0,31.27,0.0,0,6.69,58561.0,443.0,1.93,10.3,0.2401574803149606,0.4455634393835355,0.7272727272727273
2024-12-07 04:15:15.262642+00:00,_result,17,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.262642+00:00,network_metrics,3232235765,TCP,2398795406,45.9,13.43,0.0,32.95,0.0,0,20.93,58941.0,443.0,2.61,54.04,0.2401574803149606,0.0042652552926525,0.6363636363636364
2024-12-07 04:14:43.418390+00:00,_result,18,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.418390+00:00,network_metrics,3232235765,TCP,2398795747,151.04,5.29,0.0,29.05,0.0,0,5.01,58646.0,443.0,0.0,4.69,0.2401574803149606,0.4455634393835355,0.7272727272727273
2024-12-07 04:15:15.287165+00:00,_result,19,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.287165+00:00,network_metrics,3232235765,TCP,2398799012,49.03,1.49,0.0,2.11,0.0,0,0.0,57225.0,443.0,2.98,0.06,0.2401574803149606,0.0046232876712328,0.6363636363636364
2024-12-07 04:15:15.327105+00:00,_result,20,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.327105+00:00,network_metrics,3232235765,TCP,2398817468,802.49,196.06,0.0,273.55,0.01,0,8.3,55514.0,5228.0,48.55,0.19,0.468503937007874,0.0162826899128268,0.6363636363636364
2024-12-07 04:15:15.361041+00:00,_result,21,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.361041+00:00,network_metrics,3232235765,TCP,2540028389,36.96,0.06,0.0,0.08,0.0,0,0.0,57254.0,443.0,0.12,0.06,0.2401574803149606,0.0042652552926525,0.6363636363636364
2024-12-07 04:15:15.389722+00:00,_result,22,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.389722+00:00,network_metrics,3232235765,TCP,2540028553,45.56,1.02,0.0,1.45,0.0,0,0.0,57252.0,443.0,2.04,0.06,0.2401574803149606,0.0042652552926525,0.6363636363636364
2024-12-07 04:15:15.424542+00:00,_result,23,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.424542+00:00,network_metrics,3232235765,TCP,2899944355,46.82,2.23,0.0,3.69,0.01,0,4.39,58961.0,443.0,2.89,18.04,0.2401574803149606,0.4545454545454545,0.7272727272727273
2024-12-07 04:15:14.715349+00:00,_result,24,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:14.715349+00:00,network_metrics,3232235765,TCP,347974688,127.92,44.83,0.0,155.78,0.01,0,1.03,58979.0,443.0,7.79,12.79,0.2401574803149606,0.4545454545454545,0.7272727272727273
2024-12-07 04:15:14.752164+00:00,_result,25,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:14.752164+00:00,network_metrics,3232235765,TCP,349129045,49.39,5.1,0.0,9.04,0.01,0,7.65,59043.0,443.0,3.05,13.08,0.2401574803149606,0.4545454545454545,0.7272727272727273
2024-12-07 04:14:44.624375+00:00,_result,26,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:44.624375+00:00,network_metrics,3232235765,TCP,3639550644,127.84,7.22,0.0,22.4,0.0,0,1.21,58566.0,443.0,6.98,7.12,0.2401574803149606,0.4455634393835355,0.7272727272727273
2024-12-07 04:15:14.787901+00:00,_result,27,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:14.787901+00:00,network_metrics,3232235765,TCP,578335169,150.31,1.07,0.0,1.83,0.0,0,0.0,57133.0,443.0,2.03,0.18,0.2401574803149606,0.0038760896637608,0.6363636363636364
2024-12-07 04:15:14.826569+00:00,_result,28,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:14.826569+00:00,network_metrics,3232235765,TCP,578343035,53.0,1.59,0.0,2.25,0.0,0,0.0,56677.0,443.0,3.18,0.06,0.2401574803149606,0.0081724782067247,0.6363636363636364
2024-12-07 04:14:43.086219+00:00,_result,29,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.086219+00:00,network_metrics,3232235765,TCP,578350412,121.37,1.74,0.0,2.47,0.0,0,0.0,56668.0,443.0,3.49,0.01,0.2401574803149606,0.0135805294880598,0.6363636363636364
2024-12-07 04:14:43.124106+00:00,_result,30,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.124106+00:00,network_metrics,3232235765,TCP,599449622,146.46,5.16,0.0,10.43,0.0,0,15.74,58569.0,443.0,8.0,4.8,0.2401574803149606,0.4455634393835355,0.7272727272727273
2024-12-07 04:15:14.866189+00:00,_result,30,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:14.866189+00:00,network_metrics,3232235765,TCP,599449622,43.39,3.72,0.0,10.11,0.01,0,1.52,59110.0,443.0,2.14,31.51,0.2401574803149606,0.4545454545454545,0.7272727272727273
2024-12-07 04:14:43.161390+00:00,_result,31,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.161390+00:00,network_metrics,3232235765,TCP,599449624,38.37,9.34,0.0,21.05,0.0,0,27.03,58548.0,443.0,2.12,4.58,0.2401574803149606,0.4455634393835355,0.7272727272727273
2024-12-07 04:15:14.894228+00:00,_result,31,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:14.894228+00:00,network_metrics,3232235765,TCP,599449624,70.5,4.32,0.0,,0.0,0,0.0,58880.0,443.0,4.32,0.03,0.2401574803149606,0.0053393524283935,0.6818181818181818
2024-12-07 04:14:43.204436+00:00,_result,32,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.204436+00:00,network_metrics,3232235765,TCP,599449640,67.07,31.93,0.0,49.53,0.0,0,9.56,51069.0,443.0,3.68,0.04,0.2401574803149606,0.003768978408484,0.6363636363636364
2024-12-07 04:15:14.977169+00:00,_result,32,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:14.977169+00:00,network_metrics,3232235765,TCP,599449640,163.98,18.71,0.0,21.94,0.0,0,15.15,51069.0,443.0,9.97,0.19,0.2401574803149606,0.0038449564134495,0.6363636363636364
2024-12-07 04:14:43.241901+00:00,_result,33,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.241901+00:00,network_metrics,3232235765,TCP,600356467,107.51,6.83,0.0,19.4,0.0,0,25.96,58557.0,443.0,5.88,15.13,0.2401574803149606,0.4455634393835355,0.7272727272727273
2024-12-07 04:15:15.020533+00:00,_result,33,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.020533+00:00,network_metrics,3232235765,TCP,600356467,151.16,7.11,0.0,8.4,0.01,0,20.5,58939.0,443.0,2.65,0.24,0.2401574803149606,0.4545454545454545,0.7272727272727273
2024-12-07 04:15:15.052411+00:00,_result,34,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.052411+00:00,network_metrics,3232235765,TCP,601878194,145.27,29.15,0.0,67.28,0.0,0,32.63,55924.0,443.0,8.84,24.89,0.2401574803149606,0.0233810709838107,0.6363636363636364
2024-12-07 04:14:43.311255+00:00,_result,35,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.311255+00:00,network_metrics,3232235765,TCP,879870596,40.4,3.82,0.0,18.52,0.0,0,9.64,58658.0,443.0,2.23,95.49,0.2401574803149606,0.4455634393835355,0.7272727272727273
2024-12-07 04:15:15.097719+00:00,_result,36,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.097719+00:00,network_metrics,3232235765,TCP,883455400,50.28,12.37,0.0,24.9,0.01,0,5.67,59068.0,443.0,3.1,19.43,0.2401574803149606,0.4545454545454545,0.7272727272727273
2024-12-07 04:15:15.137672+00:00,_result,37,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.137672+00:00,network_metrics,3232235765,TCP,886018850,53.89,76.32,0.0,117.13,0.01,0,1.29,59091.0,443.0,1.7,15.85,0.2401574803149606,0.4545454545454545,0.7272727272727273
2024-12-07 04:14:43.007068+00:00,_result,38,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.007068+00:00,network_metrics,3232235765,TLSv1.2,225126926,38.2,38.96,0.0,96.58,0.0,0,15.0,58475.0,443.0,112.3,0.3,0.2401574803149606,0.0083619439993896,1.0
2024-12-07 04:15:14.683263+00:00,_result,38,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:14.683263+00:00,network_metrics,3232235765,TLSv1.2,225126926,45.9,168.73,0.0,256.45,0.01,0,15.02,58475.0,443.0,531.41,0.46,0.2401574803149606,0.0106631382316313,1.0
2024-12-07 04:14:43.461674+00:00,_result,39,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.461674+00:00,network_metrics,3232235765,TLSv1.2,2398799012,213.64,11.65,0.0,,0.0,0,0.0,57225.0,443.0,11.65,0.02,0.2401574803149606,0.0045319295033188,1.0
2024-12-07 04:14:43.492959+00:00,_result,40,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.492959+00:00,network_metrics,3232235765,TLSv1.2,2540028389,449.0,24.45,0.0,,0.0,0,0.0,57254.0,443.0,24.45,0.02,0.2401574803149606,0.0041809719996948,1.0
2024-12-07 04:14:43.526957+00:00,_result,41,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.526957+00:00,network_metrics,3232235765,TLSv1.2,2540028553,468.5,0.97,0.0,,0.0,0,0.0,57252.0,443.0,0.97,0.02,0.2401574803149606,0.0041809719996948,1.0
2024-12-07 04:14:43.045353+00:00,_result,42,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.045353+00:00,network_metrics,3232235765,TLSv1.2,578343035,312.07,17.0,0.0,,0.0,0,0.0,56677.0,443.0,17.0,0.02,0.2401574803149606,0.0080109864957656,1.0
2024-12-07 04:14:43.273708+00:00,_result,43,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.273708+00:00,network_metrics,3232235765,TLSv1.3,601878194,38.2,7.78,0.0,20.52,0.07,0,26.5,58535.0,443.0,9.68,1.87,0.2401574803149606,0.003616388189517,1.0
2024-12-07 04:15:16.048761+00:00,_result,44,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:16.048761+00:00,network_metrics,3232235775,NBNS,3232235708,45.9,37.93,0.0,73.05,0.02,0,2.24,443.0,443.0,0.0,2.01,0.5,0.0042652552926525,
2024-12-07 04:15:16.271193+00:00,_result,45,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:16.271193+00:00,network_metrics,3232235775,NBNS,3232235726,45.9,37.1,0.0,64.26,0.01,0,1.55,443.0,443.0,111.31,0.37,0.5,0.0042652552926525,
2024-12-07 04:15:15.878185+00:00,_result,46,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:15.878185+00:00,network_metrics,3232235775,UDP,3232235697,45.9,29.32,0.0,52.67,0.01,0,11.98,443.0,443.0,0.0,0.43,0.5,0.0042652552926525,
2024-12-07 04:15:16.145870+00:00,_result,47,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:15:16.145870+00:00,network_metrics,3232235775,UDP,3232235725,45.9,111.04,0.0,,0.01,0,0.0,443.0,443.0,111.04,0.1,0.2480314960629921,0.0042652552926525,
2024-12-07 04:14:43.691556+00:00,_result,48,2024-12-07 04:14:17.109021+00:00,2024-12-07 04:15:17.109021+00:00,2024-12-07 04:14:43.691556+00:00,network_metrics,3232235775,UDP,3232235739,38.2,198.89,0.0,,0.0,0,0.0,443.0,443.0,198.89,0.02,0.5,0.0052338445105668,
